Ticker,Volume,Volume Weighted Avg,Open,Close,High,Low,Timestamp,No. Transactions
IDXX,188102.0,410.9134,412.19,411.36,413.85,407.31,1669410000000,7021
ITW,417318.0,228.8066,229.5,228.97,229.92,228.08,1669410000000,7787
ILMN,470055.0,219.7575,222.08,218.99,222.08,218.61,1669410000000,10915
INCY,238798.0,78.0989,77.33,78.26,78.26,77.27,1669410000000,4210
IR,1213052.0,53.7025,53.8,53.42,54.03,53.35,1669410000000,11898
INTC,11314878.0,29.4704,29.68,29.34,29.68,29.335,1669410000000,67105
ICE,817734.0,106.9959,106.41,107.12,107.46,106.315,1669410000000,11414
IP,861797.0,36.7254,36.8,36.72,36.91,36.54,1669410000000,10489
IPG,1044928.0,34.3883,34.2,34.5,34.5,34.2,1669410000000,8735
IFF,499107.0,101.0719,100.58,101.37,101.45,100.11,1669410000000,9000
INTU,861769.0,393.3695,394.85,392.47,395.83,391.48,1669410000000,17960
ISRG,788105.0,264.2259,263.69,265.13,265.35,261.41,1669410000000,14415
IVZ,1433433.0,19.3474,19.21,19.41,19.49,19.15,1669410000000,11325
INVH,1070603.0,31.6343,31.58,31.72,31.79,31.42,1669410000000,10862
IQV,253521.0,219.4775,218.6,219.98,220.425,217.825,1669410000000,5967
IRM,535371.0,53.6092,53.69,53.56,53.95,53.23,1669410000000,6585
JBHT,254775.0,182.0248,181.4,182.6,182.705,178.92,1669410000000,7472
JKHY,196633.0,191.2763,190.31,191.42,191.76,190.29,1669410000000,6218
J,227412.0,123.7892,123.18,123.62,124.51,122.71,1669410000000,6306
JNJ,3058608.0,177.2203,177.38,177.24,178.12,176.86,1669410000000,31987
JCI,1430975.0,66.9745,67.12,66.85,67.31,66.72,1669410000000,20243
JPM,3220496.0,136.654,136.48,136.74,137.14,136.055,1669410000000,45027
JNPR,1287791.0,32.0393,32.01,32.02,32.15,31.93,1669410000000,11168
K,1045005.0,72.7056,72.84,72.8,72.9,72.4575,1669410000000,13271
KDP,3574330.0,38.2748,38.25,38.25,38.41,38.12,1669410000000,26780
KEY,2839933.0,19.0324,19.06,19.03,19.085,18.98,1669410000000,12918
KEYS,413623.0,176.5574,176.5,176.62,177.25,175.88,1669410000000,8795
KMB,540494.0,134.5913,134.22,135.03,135.03,134.0,1669410000000,10995
KIM,1081884.0,22.6899,22.57,22.72,22.79,22.57,1669410000000,9486
KMI,5981404.0,18.6752,18.7,18.63,18.78,18.59,1669410000000,22461
KLAC,624364.0,381.0016,382.0,380.02,384.52,380.0,1669410000000,11487
KHC,3595280.0,39.0122,39.08,38.9,39.18,38.87,1669410000000,24110
KR,2438770.0,48.6947,47.9,49.04,49.04,47.9,1669410000000,24387
LHX,232329.0,228.2489,227.98,228.68,228.96,226.855,1669410000000,6638
LH,211058.0,240.1346,238.98,241.37,241.38,238.63,1669410000000,5830
LRCX,378949.0,455.4177,456.34,453.25,458.94,453.25,1669410000000,10712
LW,493827.0,86.3077,86.08,86.15,86.76,85.629,1669410000000,8189
LVS,2533647.0,42.9675,43.34,43.17,43.34,42.55,1669410000000,25267
LDOS,268932.0,108.5145,108.2,108.89,108.89,108.0,1669410000000,5470
LEN,505900.0,86.3158,85.79,86.38,86.72,85.77,1669410000000,9450
LNC,573475.0,38.8659,38.95,38.85,39.22,38.69,1669410000000,8680
LIN,458541.0,343.886,343.26,344.42,344.58,342.5045,1669410000000,10613
LYV,660766.0,68.6292,68.57,68.46,69.15,68.16,1669410000000,10889
LKQ,387772.0,54.801,54.95,54.86,55.015,54.56,1669410000000,7642
LMT,321504.0,483.3353,484.3,483.46,484.5,481.415,1669410000000,11502
L,277939.0,57.3749,57.6,57.41,57.65,57.18,1669410000000,5845
LOW,975678.0,210.829,211.36,210.97,211.83,210.01,1669410000000,19675
LUMN,8111487.0,5.8515,5.88,5.84,5.94,5.795,1669410000000,23000
LYB,1465163.0,86.9159,87.06,86.79,87.585,86.48,1669410000000,19447
MTB,316459.0,171.9095,172.55,172.14,172.585,171.29,1669410000000,7982
MRO,3347853.0,30.5278,30.8,30.38,30.85,30.3,1669410000000,29188
MPC,1588506.0,126.5074,126.22,125.2,127.62,125.07,1669410000000,26143
MKTX,62884.0,256.7961,256.81,256.84,257.66,255.29,1669410000000,3276
MAR,918743.0,162.8532,161.57,162.53,163.84,161.25,1669410000000,18102
MMC,535154.0,171.9493,171.48,171.82,172.44,170.58,1669410000000,8925
MLM,103864.0,367.0763,363.74,367.59,368.44,363.74,1669410000000,4090
MAS,443968.0,50.8163,50.54,50.93,50.98,50.32,1669410000000,7172
MA,944409.0,350.2775,348.96,351.29,351.4,348.075,1669410000000,22930
MTCH,883505.0,47.3186,47.71,47.27,47.96,46.89,1669410000000,14290
MKC,1003054.0,84.8554,86.28,84.91,86.28,84.41,1669410000000,15801
MCD,1596579.0,274.7786,274.51,275.0,275.315,272.86,1669410000000,33506
